Mapping Category,Mapping Value,Taxonomy Code
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Fornecedores de investimentos - Facturas em recepção e conferência - (CORRENTE),71
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Fornecedores de investimentos - Facturas em recepção e conferência - (NÃO CORRENTE),72
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Fornecedores de investimentos - Adiantamentos a fornecedores de investimentos - (CORRENTE),73
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Fornecedores de investimentos - Adiantamentos a fornecedores de investimentos - (NÃO CORRENTE),74
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Devedores e credores por acréscimos (periodização económica)* - Devedores por acréscimos de rendimentos,75
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Devedores e credores por acréscimos (periodização económica)* - Credores por acréscimos de gastos,76
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Adiantamentos por conta de vendas,77
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Outros devedores e credores - (CORRENTE),78
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Outros devedores e credores - (NÃO CORRENTE),79
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Fornecedores de investimentos - Adiantamentos a fornecedores de investimentos (CORRENTE),80
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Fornecedores de investimentos - Adiantamentos a fornecedores de investimentos (NÃO CORRENTE),81
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Devedores e credores por acréscimos (periodização económica)* - Devedores por acréscimos de rendimentos,82
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Outros devedores e credores - (CORRENTE),83
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Outros devedores e credores - (NÃO CORRENTE),84
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Diferimentos - Gastos a reconhecer,85
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Diferimentos - Rendimentos a reconhecer,86
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Provisões - Impostos,87
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Provisões - Garantias a clientes,88
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Provisões - Processos judiciais em curso,89
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Provisões - Acidentes de trabalho e doenças profissionais,90
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Provisões - Outras provisões,91
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Compras - Mercadorias,92
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Compras - Matérias -primas, subsidiárias e de consumo",93
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Compras - Devoluções de compras - Mercadorias,94
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Compras - Devoluções de compras - Matérias - primas, subsidiárias e de consumo",95
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Compras - Descontos e abatimentos em compras - Mercadorias,96
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Compras - Descontos e abatimentos em compras - Matérias -primas, subsidiárias e de consumo",97
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Mercadorias - Mercadorias,98
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Mercadorias - Mercadorias em trânsito,99
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Mercadorias - Mercadorias em poder de terceiros,100
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Mercadorias - Perdas por imparidade acumuladas - Mercadorias,101
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Mercadorias - Perdas por imparidade acumuladas - Mercadorias em trânsito,102
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Mercadorias - Perdas por imparidade acumuladas - Mercadorias em poder de terceiros,103
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Matérias -primas, subsidiárias e de consumo - Matérias -primas",104
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Matérias -primas, subsidiárias e de consumo - Matérias subsidiárias",105
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Matérias -primas, subsidiárias e de consumo - Embalagens",106
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Matérias -primas, subsidiárias e de consumo - Materiais diversos",107
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Matérias -primas, subsidiárias e de consumo - Matérias em trânsito",108
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Matérias -primas, subsidiárias e de consumo - Outras matérias -primas, subsidiárias e de consumo",109
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Matérias -primas, subsidiárias e de consumo - Perdas por imparidade acumuladas - Matérias -primas",110
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Matérias -primas, subsidiárias e de consumo - Perdas por imparidade acumuladas - Matérias subsidiárias",111
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Matérias -primas, subsidiárias e de consumo - Perdas por imparidade acumuladas - Embalagens",112
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Matérias -primas, subsidiárias e de consumo - Perdas por imparidade acumuladas - Materiais diversos",113
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Matérias -primas, subsidiárias e de consumo - Perdas por imparidade acumuladas - Matérias em trânsito",114
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Matérias -primas, subsidiárias e de consumo - Perdas por imparidade acumuladas - Outras matérias - primas, subsidiárias e de consumo",115
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Produtos acabados e intermédios - Produtos acabados e intermédios,116
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Produtos acabados e intermédios - Produtos em poder de terceiros,117
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Produtos acabados e intermédios - Perdas por imparidade acumuladas - Produtos acabados e intermédios,118
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Produtos acabados e intermédios - Perdas por imparidade acumuladas - Produtos em poder de terceiros,119
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Subprodutos, desperdícios, resíduos e refugos - Subprodutos",120
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Subprodutos, desperdícios, resíduos e refugos - Desperdícios, resíduos e refugos",121
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Subprodutos, desperdícios, resíduos e refugos - Outros subprodutos, desperdícios, resíduos e refugos",122
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Subprodutos, desperdícios, resíduos e refugos - Perdas por imparidade acumuladas - Subprodutos",123
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Subprodutos, desperdícios, resíduos e refugos - Perdas por imparidade acumuladas - Desperdícios, resíduos e refugos",124
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Subprodutos, desperdícios, resíduos e refugos - Perdas por imparidade acumuladas - Outros subprodutos, desperdícios, resíduos e refugos",125
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Produtos e trabalhos em curso - Produtos e trabalhos em curso,126
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Produtos e trabalhos em curso - Perdas por imparidade acumuladas,127
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Reclassificação e regularização de inventários - Mercadorias,128
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Reclassificação e regularização de inventários - Matérias -primas, subsidiárias e de consumo",129
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Reclassificação e regularização de inventários - Produtos acabados e intermédios,130
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Reclassificação e regularização de inventários - Subprodutos, desperdícios, resíduos e refugos",131
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Reclassificação e regularização de inventários - Produtos e trabalhos em curso,132
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Adiantamentos por conta de compras - Mercadorias,133
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Adiantamentos por conta de compras - Matérias - primas, subsidiárias e de consumo",134
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Adiantamentos por conta de compras - Produtos acabados e intermédios,135
PT SAF-T: Taxonomy M (SNC for Smaller Units),"M: Adiantamentos por conta de compras - Subprodutos, desperdícios, resíduos e refugos",136
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Adiantamentos por conta de compras - Produtos e trabalhos em curso,137
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Investimentos financeiros - Investimentos noutras empresas - Participações de capital,138
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Investimentos financeiros - Investimentos noutras empresas - Empréstimos concedidos,139
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Investimentos financeiros - Investimentos noutras empresas - Outros investimentos financeiros,140
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos noutras empresas - Participações de capital,141
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos noutras empresas - Empréstimos concedidos,142
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos noutras empresas - Outros investimentos financeiros,143
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Terrenos e recursos naturais,144
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Edifícios e outras construções,145
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Equipamento básico,146
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Equipamento de transporte,147
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Equipamento administrativo,148
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Equipamentos biológicos,149
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Outros ativos fixos tangíveis,150
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Depreciações acumuladas - Terrenos e recursos naturais,151
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Depreciações acumuladas - Edifícios e outras construções,152
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Depreciações acumuladas - Equipamento básico,153
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Depreciações acumuladas - Equipamento de transporte,154
PT SAF-T: Taxonomy M (SNC for Smaller Units),M: Ativos fixos tangíveis - Depreciações acumuladas - Equipamento administrativo,155
