Mapping Category,Mapping Value,Standard Account ID,Account Description,Mapping Key
NO-SAFT: 4 Digit Standard Accounts,597,7329,Annen reklamekostnad,
NO-SAFT: 4 Digit Standard Accounts,598,7350,"Representasjon, fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,599,7360,"Representasjon, ikke fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,600,7390,"Annen salgskostnad, fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,601,7395,"Annen salgskostnad, ikke fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,602,7400,"Kontingent, fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,603,7410,"Kontingent, ikke fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,604,7420,"Gave, fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,605,7430,"Gave, ikke fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,606,7500,Forsikringspremie,
NO-SAFT: 4 Digit Standard Accounts,607,7530,Frivillig tilleggstrygd for næringsdrivende,
NO-SAFT: 4 Digit Standard Accounts,608,7550,Garantikostnad,
NO-SAFT: 4 Digit Standard Accounts,609,7560,Servicekostnad,
NO-SAFT: 4 Digit Standard Accounts,610,7600,Lisensavgift,
NO-SAFT: 4 Digit Standard Accounts,611,7605,Royalties,
NO-SAFT: 4 Digit Standard Accounts,612,7610,Patentkostnad ved egen patent,
NO-SAFT: 4 Digit Standard Accounts,613,7620,Kostnad ved varemerke o.l.,
NO-SAFT: 4 Digit Standard Accounts,614,7630,"Kontroll-, prøve- og stempelavgifter",
NO-SAFT: 4 Digit Standard Accounts,615,7710,Styremøter,
NO-SAFT: 4 Digit Standard Accounts,616,7715,Bedriftsforsamlingsmøter,
NO-SAFT: 4 Digit Standard Accounts,617,7720,Generalforsamling,
NO-SAFT: 4 Digit Standard Accounts,618,7730,Kostnad ved egne aksjer,
NO-SAFT: 4 Digit Standard Accounts,619,7750,Eiendoms- og festeavgift,
NO-SAFT: 4 Digit Standard Accounts,620,7770,Bank- og kortgebyr,
NO-SAFT: 4 Digit Standard Accounts,621,7775,Kredittkortprovisjoner,
NO-SAFT: 4 Digit Standard Accounts,622,7780,"Grunnlag MVA innførsel av varer, høy sats",
NO-SAFT: 4 Digit Standard Accounts,623,7781,"Grunnlag MVA innførsel av varer, høy sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,624,7782,"Grunnlag MVA innførsel av varer, middels sats",
NO-SAFT: 4 Digit Standard Accounts,625,7783,"Grunnlag MVA innførsel av varer, middels sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,626,7784,Grunnlag innførsel av varer med null sats,
NO-SAFT: 4 Digit Standard Accounts,627,7785,"Grunnlag innførsel av varer med  null sats, motkonto",
NO-SAFT: 4 Digit Standard Accounts,628,7786,Grunnlag utgående MVA kjøp tjenester fra utlandet,
NO-SAFT: 4 Digit Standard Accounts,629,7787,"Grunnlag utgående MVA kjøp tjenester fra utlandet, motkonto",
NO-SAFT: 4 Digit Standard Accounts,630,7788,"Innenlands kjøp av varer og tjenester, omvendt avgiftsplikt",
NO-SAFT: 4 Digit Standard Accounts,631,7789,"Innenlands kjøp av varer og tjenester, omvendt avgiftsplikt, motkonto",
NO-SAFT: 4 Digit Standard Accounts,632,7798,"Annen kostnad, fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,633,7799,"Annen kostnad, ikke fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,634,7820,"Innkommet på tidligere nedskrevne fordringer, skattepliktig",
NO-SAFT: 4 Digit Standard Accounts,635,7825,"Innkommet på tidligere nedskrevne fordringer, ikke skattepliktig",
NO-SAFT: 4 Digit Standard Accounts,636,7830,"Tap på fordringer, fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,637,7835,"Tap på fordringer, ikke fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,638,7839,Endring i avsetning for forventet tap,
NO-SAFT: 4 Digit Standard Accounts,639,7860,Tap på kontrakter,
NO-SAFT: 4 Digit Standard Accounts,640,7881,"Salgssum immatr. eiendeler og varige driftsmidler, avgiftspliktig salg",
NO-SAFT: 4 Digit Standard Accounts,641,7882,"Salgssum immatr. eiendeler og varige driftsmidler, avgiftsfritt salg",
NO-SAFT: 4 Digit Standard Accounts,642,7889,"Motkonto, balanseverdi solgte immatr. eiendeler og varige driftsmidler",
NO-SAFT: 4 Digit Standard Accounts,643,7891,Salgssum finansielle anleggsmidler,
NO-SAFT: 4 Digit Standard Accounts,644,7899,Motkonto balanseført verdi solgte finansielle driftsmidler,
NO-SAFT: 4 Digit Standard Accounts,645,7971,Justering inngående merverdiavgift fast eiendom,
NO-SAFT: 4 Digit Standard Accounts,646,7972,"Justering inngående merverdiavgift maskiner, inventar mv",
NO-SAFT: 4 Digit Standard Accounts,647,8000,Aksjeutbytte fra norsk datterselskap,
NO-SAFT: 4 Digit Standard Accounts,648,8003,"Aksjeutbytte fra utenlandsk datterselskap, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,649,8004,"Aksjeutbytte fra utenlandsk datterselskap, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,650,8005,Resultatandel fra datterselskap etter egenkapitalmetoden,
NO-SAFT: 4 Digit Standard Accounts,651,8007,"Gevinst/tap ved realisasjon av aksjer/andeler i datterselskap, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,652,8008,"Gevinst/tap ved realisasjon av aksjer/andeler i datterselskap, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,653,8010,Aksjeutbytte fra norsk foretak i samme konsern,
NO-SAFT: 4 Digit Standard Accounts,654,8013,"Aksjeutbytte fra utenlandsk foretak i samme konsern, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,655,8014,"Aksjeutbytte fra utenlandsk foretak i samme konsern, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,656,8017,"Gevinst/tap ved realisasjon av aksjer/andeler i foretak i samme konsern, innenfor fritaksmodellen",
NO-SAFT: 4 Digit Standard Accounts,657,8018,"Gevinst/tap ved realisasjon av aksjer/andeler i foretak i samme konsern, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,658,8020,Aksjeutbytte fra norsk tilknyttet selskap,
NO-SAFT: 4 Digit Standard Accounts,659,8023,"Aksjeutbytte fra utenlandsk tilknyttet selskap, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,660,8024,"Aksjeutbytte fra utenlandsk tilknyttet selskap, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,661,8025,Resultatandel fra tilknyttet selskap etter egenkapitalmetoden,
NO-SAFT: 4 Digit Standard Accounts,662,8027,"Gevinst/tap ved realisasjon av aksjer/andeler i tilknyttet selskap, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,663,8028,"Gevinst/tap ved realisasjon av aksjer/andeler i tilknyttet selskap, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,664,8030,Renteinntekt fra foretak i samme konsern,
NO-SAFT: 4 Digit Standard Accounts,665,8040,"Renteinntekt, skattefri",
NO-SAFT: 4 Digit Standard Accounts,666,8050,Renteinntekt bankinnskudd,
NO-SAFT: 4 Digit Standard Accounts,667,8055,Renteinntekt kundefordringer,
NO-SAFT: 4 Digit Standard Accounts,668,8059,Annen renteinntekt,
NO-SAFT: 4 Digit Standard Accounts,669,8060,Valutagevinst (agio),
NO-SAFT: 4 Digit Standard Accounts,670,8070,Aksjeutbytte fra norsk foretak,
NO-SAFT: 4 Digit Standard Accounts,671,8073,"Aksjeutbytte fra utenlandsk foretak, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,672,8074,"Aksjeutbytte fra utenlandsk foretak, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,673,8077,"Gevinst ved realisasjon av andre aksjer/andeler, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,674,8078,"Gevinst ved realisasjon av andre aksjer/andeler, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,675,8079,Annen finansinntekt,
NO-SAFT: 4 Digit Standard Accounts,676,8080,"Verdiøkning av finansielle instrumenter vurdert til virkelig verdi, urealisert",
NO-SAFT: 4 Digit Standard Accounts,677,8082,Verdiøkning av finansielle instrumenter vurdert til virkelig verdi realisert,
NO-SAFT: 4 Digit Standard Accounts,678,8090,Inntekt på andre investeringer,
NO-SAFT: 4 Digit Standard Accounts,679,8100,"Verdireduksjon av finansielle instrumenter vurdert til virkelig verdi, urealisert",
NO-SAFT: 4 Digit Standard Accounts,680,8105,"Verdireduksjon av finansielle instrumenter vurdert til virkelig verdi, realisert",
NO-SAFT: 4 Digit Standard Accounts,681,8110,Nedskrivning av andre finansielle omløpsmidler,
NO-SAFT: 4 Digit Standard Accounts,682,8120,Nedskrivning av finansielle anleggsmidler,
NO-SAFT: 4 Digit Standard Accounts,683,8129,Reversering av nedskrivning finansielle anleggsmidler,
NO-SAFT: 4 Digit Standard Accounts,684,8130,Rentekostnad til foretak i samme konsern,
NO-SAFT: 4 Digit Standard Accounts,685,8140,"Rentekostnad, ikke fradragsberettiget",
NO-SAFT: 4 Digit Standard Accounts,686,8150,Rentekostnad banklån,
NO-SAFT: 4 Digit Standard Accounts,687,8154,Renter/provisjon kassekreditt,
NO-SAFT: 4 Digit Standard Accounts,688,8155,Rentekostnad leverandørgjeld,
NO-SAFT: 4 Digit Standard Accounts,689,8159,Annen rentekostnad,
NO-SAFT: 4 Digit Standard Accounts,690,8160,Valutatap (disagio),
NO-SAFT: 4 Digit Standard Accounts,691,8177,"Tap ved realisasjon av aksjer/andeler, innenfor fritaksmetoden (jf. konto 8007, 8017 og 8027)",
NO-SAFT: 4 Digit Standard Accounts,692,8178,"Tap ved realisasjon av aksjer/andeler, utenfor fritaksmetoden (jf. konto 8008, 8018 og 8028)",
NO-SAFT: 4 Digit Standard Accounts,693,8179,Annen finanskostnad,
NO-SAFT: 4 Digit Standard Accounts,694,8300,Betalbar skatt,
NO-SAFT: 4 Digit Standard Accounts,695,8309,"Betalbar skatt, for mye/lite avsatt tidligere år",
NO-SAFT: 4 Digit Standard Accounts,696,8320,Endring i utsatt skatt/skattefordel,
NO-SAFT: 4 Digit Standard Accounts,697,8400,Virkning av prinsippendring,
NO-SAFT: 4 Digit Standard Accounts,698,8410,Korrigering av feil,
NO-SAFT: 4 Digit Standard Accounts,699,8500,Virkning av prinsippendring,
NO-SAFT: 4 Digit Standard Accounts,700,8510,Korrigering av feil,
NO-SAFT: 4 Digit Standard Accounts,701,8600,"Betalbar skatt, virkning av prinsippendring",
NO-SAFT: 4 Digit Standard Accounts,702,8602,"Betalbar skatt, korrigering av feil",
NO-SAFT: 4 Digit Standard Accounts,703,8609,"Betalbar skatt, for mye/lite avsatt tidligere år",
NO-SAFT: 4 Digit Standard Accounts,704,8620,"Endring utsatt skatt/skattefordel, virkning av prinsippendring",
NO-SAFT: 4 Digit Standard Accounts,705,8622,"Endring utsatt skatt/skattefordel, korrigering av feil",
NO-SAFT: 4 Digit Standard Accounts,706,8800,Årsresultat,
NO-SAFT: 4 Digit Standard Accounts,707,8900,Overføringer fond,
NO-SAFT: 4 Digit Standard Accounts,708,8910,Overføringer felleseid andelskapital for samvirkeforetak,
NO-SAFT: 4 Digit Standard Accounts,709,8920,Avsatt utbytte / renter på egenkapitalbevis / etterbetaling for samvirkeforetak,
NO-SAFT: 4 Digit Standard Accounts,710,8921,Avsatt tilleggsutbytte,
NO-SAFT: 4 Digit Standard Accounts,711,8922,Avsatt ekstraordinær utbytte,
NO-SAFT: 4 Digit Standard Accounts,712,8930,Mottatt konsernbidrag,
NO-SAFT: 4 Digit Standard Accounts,713,8935,Avsatt konsernbidrag,
NO-SAFT: 4 Digit Standard Accounts,714,8950,Fondsemisjon,
NO-SAFT: 4 Digit Standard Accounts,715,8960,Overføringer annen egenkapital,
NO-SAFT: 4 Digit Standard Accounts,716,8968,Overføringer udisponert vinning,
NO-SAFT: 4 Digit Standard Accounts,717,8969,Overføringer udisponert tap,
NO-SAFT: 4 Digit Standard Accounts,718,8980,Privatuttak,
NO-SAFT: 4 Digit Standard Accounts,719,8990,Udekket tap,
