Mapping Category,Mapping Value,Standard Account ID,Account Description,Mapping Key
NO-SAFT: 4 Digit Standard Accounts,161,1743,Forskuddsbetalt forsikring,
NO-SAFT: 4 Digit Standard Accounts,162,1744,Forskuddsbetalt leasingleie,
NO-SAFT: 4 Digit Standard Accounts,163,1749,Andre forskuddsbetalte driftskostnader,
NO-SAFT: 4 Digit Standard Accounts,164,1750,Påløpt leieinntekt,
NO-SAFT: 4 Digit Standard Accounts,165,1760,Påløpt renteinntekt,
NO-SAFT: 4 Digit Standard Accounts,166,1780,Krav på innbetaling av selskapskapital,
NO-SAFT: 4 Digit Standard Accounts,167,1800,"Aksjer i foretak i samme konsern, norske",
NO-SAFT: 4 Digit Standard Accounts,168,1805,"Andeler i foretak i samme konsern, norske",
NO-SAFT: 4 Digit Standard Accounts,169,1806,"Aksjer/andeler i foretak i samme konsern, utenlandske, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,170,1808,"Aksjer/andeler i foretak i samme konsern, utenlandske, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,171,1810,"Børsnoterte aksjer, norske",
NO-SAFT: 4 Digit Standard Accounts,172,1815,"Børsnoterte aksjer, utenlandske, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,173,1816,"Børsnoterte aksjer, utenlandske, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,174,1820,"Andre ikke børsnoterte aksjer, norske",
NO-SAFT: 4 Digit Standard Accounts,175,1825,"Andre ikke børsnoterte aksjer, utenlandske, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,176,1830,"Markedsbaserte obligasjoner, norske",
NO-SAFT: 4 Digit Standard Accounts,177,1835,"Markedsbaserte obligasjoner, utenlandske",
NO-SAFT: 4 Digit Standard Accounts,178,1840,"Ikke markedsbaserte obligasjoner, norske",
NO-SAFT: 4 Digit Standard Accounts,179,1845,"Ikke markedsbaserte obligasjoner, utenlandske",
NO-SAFT: 4 Digit Standard Accounts,180,1850,"Markedsbaserte obligasjoner med kort løpetid (sertifikater), norske",
NO-SAFT: 4 Digit Standard Accounts,181,1855,"Markedsbaserte obligasjoner med kort løpetid (sertifikater), utenlandske",
NO-SAFT: 4 Digit Standard Accounts,182,1860,"Ikke markedsbaserte obligasjoner med kort løpetid (sertifikater), norske",
NO-SAFT: 4 Digit Standard Accounts,183,1865,"Ikke markedsbaserte obligasjoner med kort løpetid (sertifikater), utenlandske",
NO-SAFT: 4 Digit Standard Accounts,184,1870,"Markedsbaserte opsjoner, norske",
NO-SAFT: 4 Digit Standard Accounts,185,1875,"Markedsbaserte opsjoner, utenlandske",
NO-SAFT: 4 Digit Standard Accounts,186,1880,"Ikke markedsbaserte opsjoner, norske",
NO-SAFT: 4 Digit Standard Accounts,187,1882,"Ikke markedsbaserte opsjoner, utenlandske",
NO-SAFT: 4 Digit Standard Accounts,188,1889,Andre finansielle instrumenter,
NO-SAFT: 4 Digit Standard Accounts,189,1890,"Andeler utenfor konsern, norske",
NO-SAFT: 4 Digit Standard Accounts,190,1892,"Andeler utenfor konsern, utenlandske, innenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,191,1893,"Andeler utenfor konsern, utenlandske, utenfor fritaksmetoden",
NO-SAFT: 4 Digit Standard Accounts,192,1900,"Kontanter, NOK",
NO-SAFT: 4 Digit Standard Accounts,193,1905,"Kontanter, euro",
NO-SAFT: 4 Digit Standard Accounts,194,1908,"Kontanter, annen valuta",
NO-SAFT: 4 Digit Standard Accounts,195,1909,Kassedifferanse,
NO-SAFT: 4 Digit Standard Accounts,196,1920,Bankinnskudd,
NO-SAFT: 4 Digit Standard Accounts,197,1950,Bankinnskudd for skattetrekk,
NO-SAFT: 4 Digit Standard Accounts,198,1960,Bankinnskudd utland,
NO-SAFT: 4 Digit Standard Accounts,199,2000,"Aksjekapital / Egenkapital, bundet",
NO-SAFT: 4 Digit Standard Accounts,200,2010,Egne aksjer / Felleseid andelskapital,
NO-SAFT: 4 Digit Standard Accounts,201,2020,Overkurs,
NO-SAFT: 4 Digit Standard Accounts,202,2030,Ikke registrert kapitalforhøyelse,
NO-SAFT: 4 Digit Standard Accounts,203,2032,Ikke registrert fondsemisjon,
NO-SAFT: 4 Digit Standard Accounts,204,2033,Ikke registrert kapitalnedsettelse,
NO-SAFT: 4 Digit Standard Accounts,205,2035,Annen innskutt egenkapital,
NO-SAFT: 4 Digit Standard Accounts,206,2036,Stiftelsesutgifter,
NO-SAFT: 4 Digit Standard Accounts,207,2040,Fond / Fond for vurderingsforskjeller i DLS,
NO-SAFT: 4 Digit Standard Accounts,208,2042,Fond for vurderingsforskjeller i andre selskaper,
NO-SAFT: 4 Digit Standard Accounts,209,2045,Fond for urealiserte gevinster,
NO-SAFT: 4 Digit Standard Accounts,210,2050,Annen egenkapital,
NO-SAFT: 4 Digit Standard Accounts,211,2055,Avsatt utbytte,
NO-SAFT: 4 Digit Standard Accounts,212,2060,Uttak kontanter,
NO-SAFT: 4 Digit Standard Accounts,213,2062,Innskudd kontanter,
NO-SAFT: 4 Digit Standard Accounts,214,2063,Uttak av anleggsmidler/driftsmidler,
NO-SAFT: 4 Digit Standard Accounts,215,2064,Uttak varer og tjenester,
NO-SAFT: 4 Digit Standard Accounts,216,2065,Egen bolig i næringsbygg,
NO-SAFT: 4 Digit Standard Accounts,217,2066,Motkonto egen bolig i næringsbygg,
NO-SAFT: 4 Digit Standard Accounts,218,2067,Lys og varme privat,
NO-SAFT: 4 Digit Standard Accounts,219,2068,Private kostnader til elektronisk kommunikasjon,
NO-SAFT: 4 Digit Standard Accounts,220,2069,Diverse andre privatutgifter,
NO-SAFT: 4 Digit Standard Accounts,221,2070,Forskuddsskatt,
NO-SAFT: 4 Digit Standard Accounts,222,2072,Tilleggsforskudd/restskatt,
NO-SAFT: 4 Digit Standard Accounts,223,2075,Privat bruk av næringsbil,
NO-SAFT: 4 Digit Standard Accounts,224,2077,Premie til egen syke- og ulykkesforsikring,
NO-SAFT: 4 Digit Standard Accounts,225,2078,Premie til tilleggstrygd for sykepenger,
NO-SAFT: 4 Digit Standard Accounts,226,2080,Udekket tap,
NO-SAFT: 4 Digit Standard Accounts,227,2099,Udisponert resultat,
NO-SAFT: 4 Digit Standard Accounts,228,2100,Pensjonsforpliktelser,
NO-SAFT: 4 Digit Standard Accounts,229,2120,"Utsatt skatt, brutto",
NO-SAFT: 4 Digit Standard Accounts,230,2129,Utlignbar utsatt skatt,
NO-SAFT: 4 Digit Standard Accounts,231,2160,Uopptjent inntekt,
NO-SAFT: 4 Digit Standard Accounts,232,2180,Andre avsetninger for forpliktelser,
NO-SAFT: 4 Digit Standard Accounts,233,2188,Avsetning for skyldig merverdiavgift,
NO-SAFT: 4 Digit Standard Accounts,234,2200,Konvertible lån,
NO-SAFT: 4 Digit Standard Accounts,235,2210,Obligasjonslån,
NO-SAFT: 4 Digit Standard Accounts,236,2220,Gjeld til kredittinstitusjoner,
NO-SAFT: 4 Digit Standard Accounts,237,2250,Gjeld til ansatte,
NO-SAFT: 4 Digit Standard Accounts,238,2255,Gjeld til eiere,
NO-SAFT: 4 Digit Standard Accounts,239,2260,Gjeld til selskap i samme konsern,
NO-SAFT: 4 Digit Standard Accounts,240,2280,Stille interessentinnskudd,
NO-SAFT: 4 Digit Standard Accounts,241,2285,Ansvarlig lånekapital,
NO-SAFT: 4 Digit Standard Accounts,242,2290,Gjeld til andre personer enn ansatte og eiere,
NO-SAFT: 4 Digit Standard Accounts,243,2299,Annen langsiktig gjeld,
NO-SAFT: 4 Digit Standard Accounts,244,2300,Konvertible lån,
NO-SAFT: 4 Digit Standard Accounts,245,2320,Obligasjonslån,
NO-SAFT: 4 Digit Standard Accounts,246,2360,Byggelån,
NO-SAFT: 4 Digit Standard Accounts,247,2380,Kassakreditt,
NO-SAFT: 4 Digit Standard Accounts,248,2390,Annen gjeld til kredittinstitusjon,
NO-SAFT: 4 Digit Standard Accounts,249,2400,Leverandørgjeld,
NO-SAFT: 4 Digit Standard Accounts,250,2460,Leverandørgjeld til selskap i samme konsern,
NO-SAFT: 4 Digit Standard Accounts,251,2500,"Betalbar skatt, ikke fastsatt",
NO-SAFT: 4 Digit Standard Accounts,252,2510,"Betalbar skatt, fastsatt",
NO-SAFT: 4 Digit Standard Accounts,253,2540,Forskuddsskatt – upersonlig skattyter,
NO-SAFT: 4 Digit Standard Accounts,254,2600,Forskuddstrekk,
NO-SAFT: 4 Digit Standard Accounts,255,2610,Utleggstrekk,
NO-SAFT: 4 Digit Standard Accounts,256,2620,Bidragstrekk,
NO-SAFT: 4 Digit Standard Accounts,257,2630,Trygdetrekk,
NO-SAFT: 4 Digit Standard Accounts,258,2640,Forsikringstrekk,
NO-SAFT: 4 Digit Standard Accounts,259,2650,Trukket fagforeningskontingent,
NO-SAFT: 4 Digit Standard Accounts,260,2690,Andre trekk,
NO-SAFT: 4 Digit Standard Accounts,261,2700,"Utgående merverdiavgift, høy sats",
NO-SAFT: 4 Digit Standard Accounts,262,2701,"Utgående merverdiavgift, middels sats",
NO-SAFT: 4 Digit Standard Accounts,263,2702,"Utgående merverdiavgift, middels sats, råfisk mv",
NO-SAFT: 4 Digit Standard Accounts,264,2703,"Utgående merverdiavgift, lav sats",
NO-SAFT: 4 Digit Standard Accounts,265,2704,Utgående merverdiavgift ved kjøp av tjenester fra utlandet,
NO-SAFT: 4 Digit Standard Accounts,266,2705,"Utgående merverdiavgift - innførsel av varer, høy sats",
NO-SAFT: 4 Digit Standard Accounts,267,2706,"Utgående merverdiavgift - innførsel av varer, middels sats",
NO-SAFT: 4 Digit Standard Accounts,268,2707,"Utgående merverdiavgift - innenlands kjøp av varer og tjenester med omvendt avgiftsplikt, høy sats",
NO-SAFT: 4 Digit Standard Accounts,269,2710,"Inngående merverdiavgift, høy sats",
NO-SAFT: 4 Digit Standard Accounts,270,2711,"Inngående merverdiavgift, middels sats",
NO-SAFT: 4 Digit Standard Accounts,271,2712,"Inngående merverdiavgift, middels sats, råfisk mv",
NO-SAFT: 4 Digit Standard Accounts,272,2713,"Inngående merverdiavgift, lav sats",
NO-SAFT: 4 Digit Standard Accounts,273,2714,Inngående merverdiavgift ved kjøp tjenester fra utlandet,
NO-SAFT: 4 Digit Standard Accounts,274,2715,"Inngående merverdiavgift - innførsel av varer, høy sats",
NO-SAFT: 4 Digit Standard Accounts,275,2716,"Inngående merverdiavgift - innførsel av varer, middels sats",
NO-SAFT: 4 Digit Standard Accounts,276,2717,"Inngående merverdiavgift - innenlands kjøp av varer og tjenester med omvendt avgiftsplikt, høy sats",
NO-SAFT: 4 Digit Standard Accounts,277,2740,Oppgjørskonto merverdiavgift,
NO-SAFT: 4 Digit Standard Accounts,278,2770,Skyldig arbeidsgiveravgift,
NO-SAFT: 4 Digit Standard Accounts,279,2771,Betalt arbeidsgiveravgift,
