Mapping Category,Mapping Value,Taxonomy Code
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Financiamentos obtidos - Subsidiárias, associadas e empreendimentos conjuntos - (NÃO CORRENTE)",103
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Outros financiadores - (CORRENTE),104
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Financiamentos obtidos - Outros financiadores - (NÃO CORRENTE),105
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Acionistas c/ subscrição,106
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Quotas não liberadas,107
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Adiantamentos por conta de lucros,108
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Resultados atribuídos,109
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Lucros disponíveis,110
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Empréstimos concedidos — empresa-mãe - (CORRENTE),111
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Empréstimos concedidos — empresa-mãe - (NÃO CORRENTE),112
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Outras operações - (CORRENTE),113
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Outras operações - (NÃO CORRENTE),114
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Perdas por imparidade acumuladas - Acionistas c/ subscrição,115
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Perdas por imparidade acumuladas - Quotas não liberadas,116
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Perdas por imparidade acumuladas - Adiantamentos por conta de lucros,117
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Acionistas/sócios - Perdas por imparidade acumuladas - Resultados atribuídos,118
